date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
22/07/2026;M.ª Magdalena;Magdalena Donea;Ezkio-Itsaso - Barrio Itsaso-Alegia;Ezkio-Itsaso - Itsaso Auzoa;Gipuzkoa;35.0;43.072.544;-2.257.418
24/08/2026;San Bartolomé;Bartolome Deuna;Ezkio-Itsaso - Itsaso Centro;Ezkio-Itsaso - Itsaso Hiriburua;Gipuzkoa;35.0;43.072.544;-2.257.418
08/09/2026;Día de la Virgen de Kizkitza;Kizkitzako Ama Birjinaren eguna;Ezkio-Itsaso - Mendialdea;Ezkio-Itsaso - Mendialdea;Gipuzkoa;35.0;43.064.321;-2.274.735
17/08/2026;San Roque;San Roke;Gabiria  ;Gabiria  ;Gipuzkoa;38.0;43.049.689;-2.279.856
29/09/2026;Fiesta local;Tokiko jai-eguna;Gaintza  ;Gaintza  ;Gipuzkoa;37.0;43.052.629;-213.237
14/08/2026;Fiesta local;Tokiko jai-eguna;Gaztelu  ;Gaztelu  ;Gipuzkoa;907.0;43.116.579;-2.022.278
06/08/2026;San Salvador;Salbatore Deuna;Getaria  ;Getaria  ;Gipuzkoa;39.0;43.303.261;-2.204.363
24/06/2026;San Juan;San Juan;Hernani  ;Hernani  ;Gipuzkoa;40.0;43.267.549;-1.975.814
14/08/2026;Fiesta local;Tokiko jai-eguna;Hernialde  ;Hernialde  ;Gipuzkoa;41.0;43.154.467;-2.085.025
08/09/2026;Ntra. Sra. de Guadalupe;Ama Guadalupakoa;Hondarribia  ;Hondarribia  ;Gipuzkoa;36.0;43.362.531;-1.791.498
24/08/2026;Fiesta local;Tokiko jai-eguna;Ibarra  ;Ibarra  ;Gipuzkoa;42.0;43.132.345;-2.065.462
03/02/2026;Fiesta local;Tokiko jai-eguna;Idiazabal  ;Idiazabal  ;Gipuzkoa;43.0;43.011.782;-2.234.214
10/08/2026;San Lorenzo;San Lorentzo;Ikaztegieta  ;Ikaztegieta  ;Gipuzkoa;44.0;4.309.496;-21.239
30/06/2026;Fiesta local;Tokiko jai-eguna;Irun  ;Irun  ;Gipuzkoa;45.0;43.338.233;-1.789.272
29/09/2026;San Miguel;San Migel;Irura  ;Irura  ;Gipuzkoa;46.0;43.165.688;-2.069.616
18/09/2026;Fiesta local;Tokiko jai-eguna;Itsasondo  ;Itsasondo  ;Gipuzkoa;47.0;43.066.932;-2.167.393
03/08/2026;Fiesta local;Tokiko jai-eguna;Larraul  ;Larraul  ;Gipuzkoa;48.0;43.187.739;-2.102.534
29/06/2026;San Pedro;San Pedro;Lasarte-Oria  ;Lasarte-Oria;Gipuzkoa;902.0;43.267.455;-2.020.179
28/04/2026;San Prudencio;San Prudentzio;Lazkao  ;Lazkao  ;Gipuzkoa;49.0;43.034.324;-2.187.379
29/06/2026;San Pedro;San Pedro;Leaburu - Txarama;Leaburu - Txarama;Gipuzkoa;50.0;43.124.984;-2.052.106
04/05/2026;Día siguiente Santa Cruz;Gurutze Santuaren hurrengo eguna;Legazpi  ;Legazpi  ;Gipuzkoa;51.0;43.054.361;-2.333.641
14/05/2026;Fiesta local;Tokiko jai-eguna;Legorreta  ;Legorreta  ;Gipuzkoa;52.0;43.085.794;-2.150.909
08/09/2026;Festividad de la Virgen;Ama Birjinaren eguna;Leintz-Gatzaga  ;Leintz-Gatzaga  ;Gipuzkoa;68.0;42.987.112;-2.568.626
14/09/2026;Exaltación de la Santa Cruz;Gurutzea Gorapenaren Gorespena;Lezo  ;Lezo  ;Gipuzkoa;53.0;43.321.127;-1.898.775
08/09/2026;Virgen del Sagrario;Sagrarioko Ama Birjinaren eguna;Lizartza  ;Lizartza  ;Gipuzkoa;54.0;4.310.372;-2.034.254
27/07/2026;Día Siguiente Santa Ana;Santa Ana hurrengo eguna;Mendaro  ;Mendaro  ;Gipuzkoa;901.0;43.264.167;-23.755
29/06/2026;San Pedro;San Pedro;Mutiloa  ;Mutiloa  ;Gipuzkoa;57.0;4.302.238;-2.272.826
22/07/2026;Día de Magdalena;Maien eguna;Mutriku  ;Mutriku  ;Gipuzkoa;56.0;43.307.069;-2.385.083
03/08/2026;San Esteban ;Done Eztebe;Oiartzun  ;Oiartzun  ;Gipuzkoa;63.0;43.299.282;-1.857.874
24/06/2026;San Juan;San Juan;Olaberria  ;Olaberria  ;Gipuzkoa;58.0;43.027.075;-2.203.089
29/09/2026;San Miguel;San Migel;Oñati  ;Oñati  ;Gipuzkoa;59.0;43.032.888;-2.411.348
27/07/2026;Día siguiente a Santa Ana;Santa Ana biharamuna;Ordizia  ;Ordizia  ;Gipuzkoa;76.0;43.054.198;-2.178.115
20/01/2026;Fiesta local;Tokiko jai-eguna;Orendain  ;Orendain  ;Gipuzkoa;905.0;43.079.721;-211.429
04/05/2026;Fiesta local;Tokiko jai-eguna;Orexa  ;Orexa  ;Gipuzkoa;60.0;43.093.881;-2.011.392
29/06/2026;San Pedro;San Pedro;Orio  ;Orio  ;Gipuzkoa;61.0;43.278.323;-2.126.597
30/11/2026;Fiesta local;Tokiko jai-eguna;Ormaiztegi  ;Ormaiztegi  ;Gipuzkoa;62.0;43.042.735;-2.255.848
24/06/2026;San Juan;San Juan;Pasaia - P. Antxo  ;Pasaia - P. Antxo  ;Gipuzkoa;64.0;43.317.534;-1.917.562
29/06/2026;San Pedro;San Pedro;Pasaia - P. Donibane  ;Pasaia - P. Donibane  ;Gipuzkoa;64.0;43.327.481;-1.919.883
07/07/2026;San Fermín;San Fermin;Pasaia - P. San Pedro  ;Pasaia - P. San Pedro  ;Gipuzkoa;64.0;43.323.348;-1.930.432
16/07/2026;Karmengo Ama;Karmengo Ama;Pasaia - Trintxerpe  ;Pasaia - Trintxerpe  ;Gipuzkoa;64.0;43.326.138;-1.931.587
24/06/2026;San Juan;San Juan;Segura  ;Segura  ;Gipuzkoa;70.0;43.009.216;-2.252.519
17/08/2026;San Roke Txiki;San Roke Txiki;Soraluze-Placencia de las Armas;Soraluze-Placencia de las Armas;Gipuzkoa;65.0;4.317.543;-2.412.494
24/06/2026;San Juan;San Juan;Tolosa  ;Tolosa  ;Gipuzkoa;71.0;43.136.978;-2.073.914
29/09/2026;San Miguel;San Migel;Urnieta  ;Urnieta  ;Gipuzkoa;72.0;432.482;-1.990.517
21/09/2026;Santa Anastasia;Santa Anastasia;Urretxu  ;Urretxu  ;Gipuzkoa;77.0;43.092.282;-2.314.383
02/07/2026;Santixabel;Santixabel;Usurbil  ;Usurbil  ;Gipuzkoa;73.0;43.271.382;-2.049.934
11/11/2026;San Martín;San Martin;Villabona  ;Billabona  ;Gipuzkoa;75.0;43.189.944;-2.052.453
02/10/2026;Fiesta local;Tokiko jai-eguna;Zaldibia  ;Zaldibia  ;Gipuzkoa;78.0;43.037.964;-2.150.894
26/06/2026;San Pelaio;San Pelaio;Zarautz  ;Zarautz  ;Gipuzkoa;79.0;43.280.364;-2.171.588
25/05/2026;Lunes de Pentecostés;Mendekoste Astelehena;Zegama  ;Zegama  ;Gipuzkoa;25.0;42.975.677;-2.290.072
